original1,original2,concatenate,countrynameoecd,countryname.imf
, Afghanistan, Afghanistan,Afghanistan,Afghanistan
, Albania, Albania,Albania,Albania
,Algeria,Algeria,Algeria,Algeria
,Angola,Angola,Angola,Angola
,Anguilla,Anguilla,Anguilla,Anguilla
Antigua,and Barbuda,Antiguaand Barbuda,Antigua and Barbuda,Antigua and Barbuda
, Argentina, Argentina,Argentina,Argentina
,Armenia,Armenia,Armenia,Armenia
,Aruba,Aruba,Aruba,Aruba
,Australia,Australia,Australia,Australia
,Austria,Austria,Austria,Austria
Azerbaijan,Rep. of,AzerbaijanRep. of,Azerbaijan,Azerbaijan
The,Bahamas,TheBahamas,Bahamas,The Bahamas
Bahrain,Kingdom of,BahrainKingdom of,Bahrain,Bahrain
, Bangladesh, Bangladesh,Bangladesh,Bangladesh
, Barbados, Barbados,Barbados,Barbados
,Belarus,Belarus,Belarus,Belarus
,Belgium,Belgium,Belgium,Belgium
,Belize,Belize,Belize,Belize
,Benin,Benin,Benin,Benin
,Bermuda,Bermuda,Bermuda,Bermuda
,Bhutan,Bhutan,Bhutan,Bhutan
,Bolivia,Bolivia,Bolivia,Bolivia
Bosnia &,Herzegovina,Bosnia &Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
,Botswana,Botswana,Botswana,Botswana
,Brazil,Brazil,Brazil,Brazil
Brunei,Darussalam,BruneiDarussalam,Brunei,Brunei Darussalam
,Bulgaria,Bulgaria,Bulgaria,Bulgaria
Burkina,Faso,BurkinaFaso,Burkina Faso,Burkina Faso
,Burundi,Burundi,Burundi,Burundi
Cabo,Verde,CaboVerde,Cabo Verde,Cabo Verde
,Cambodia,Cambodia,Cambodia,Cambodia
, Cameroon, Cameroon,Cameroon,Cameroon
,Canada,Canada,Canada,Canada
Central ,African Rep.,Central African Rep.,Central African Rep.,Central African Republic
,Chad,Chad,Chad,Chad
,Chile,Chile,Chile,Chile
,"China, PR","China, PR",China (People's Republic of),China
, Colombia, Colombia,Colombia,Colombia
,Comoros,Comoros,Comoros,Comoros
Congo Dem.,Rep. of,Congo Dem.Rep. of,Congo Dem. Rep. of,Democratic Republic of the Congo
Congo,Rep. of,CongoRep. of,Congo Rep. of,Congo Rep. of
Costa,Rica,CostaRica,Costa Rica,Costa Rica
Cote,"D""Ivoire","CoteD""Ivoire",Cote D'Ivoire,Cote d'Ivoire
,Croatia,Croatia,Croatia,Croatia
,Curacao,Curacao,Curacao,Curacao
,Cyprus,Cyprus,Cyprus,Cyprus
Czech,Rep.,CzechRep.,Czech Republic,Czech Republic
,Denmark,Denmark,Denmark,Denmark
,Djibouti,Djibouti,Djibouti,Djibouti
,Dominica,Dominica,Dominica,Dominica
Dominican,Republic,DominicanRepublic,Dominican Republic,Dominican Republic
, Ecuador, Ecuador,Ecuador,Ecuador
,Egypt,Egypt,Egypt,Egypt
El, Salvador,El Salvador,El Salvador,El Salvador
Equatorial,Guinea,EquatorialGuinea,Equatorial Guinea,Equatorial Guinea
,Eritrea,Eritrea,Eritrea,Eritrea
,Estonia,Estonia,Estonia,Estonia
,Ethiopia,Ethiopia,Ethiopia,Ethiopia
,Fiji,Fiji,Fiji,Fiji
, Finland, Finland,Finland,Finland
, France, France,France,France
,Gabon,Gabon,Gabon,Gabon
The,Gambia,TheGambia,Gambia,The Gambia
,Georgia,Georgia,Georgia,Georgia
,Germany,Germany,Germany,Germany
,Ghana,Ghana,Ghana,Ghana
,Greece,Greece,Greece,Greece
,Grenada,Grenada,Grenada,Grenada
,Guatemala,Guatemala,Guatemala,Guatemala
,Guinea,Guinea,Guinea,Guinea
Guinea,Bissau,GuineaBissau,Guinea Bissau,Guinea-Bissau
,Guyana,Guyana,Guyana,Guyana
,Haiti,Haiti,Haiti,Haiti
,Honduras,Honduras,Honduras,Honduras
Hong,Kong,HongKong,Hong Kong,Hong Kong SAR
,Hungary,Hungary,Hungary,Hungary
,Iceland,Iceland,Iceland,Iceland
,India,India,India,India
,Indonesia,Indonesia,Indonesia,Indonesia
,Iran,Iran,Iran,Islamic Republic of Iran
,Iraq,Iraq,Iraq,Iraq
,Ireland,Ireland,Ireland,Ireland
,Israel,Israel,Israel,Israel
,Italy ,Italy ,Italy,Italy
,Jamaica,Jamaica,Jamaica,Jamaica
,Japan,Japan,Japan,Japan
,Jordan,Jordan,Jordan,Jordan
,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
,Kenya,Kenya,Kenya,Kenya
, Kiribati, Kiribati,Kiribati,Kiribati
 ,Korea, Korea,Korea,Korea
,Kuwait,Kuwait,Kuwait,Kuwait
Kyrgyz,Rep.,KyrgyzRep.,Kyrgyz Rep.,Kyrgyz Republic
Lao ,Dem. Rep.,Lao Dem. Rep.,Lao Dem. Rep.,Lao P.D.R.
,Latvia,Latvia,Latvia,Latvia
,Lebanon,Lebanon,Lebanon,Lebanon
,Lesotho,Lesotho,Lesotho,Lesotho
,Liberia,Liberia,Liberia,Liberia
,Libya,Libya,Libya,Libya
,Liechtesntein,Liechtesntein,Liechtesntein,Liechtesntein
,Lithuania,Lithuania,Lithuania,Lithuania
,Luxembourg,Luxembourg,Luxembourg,Luxembourg
,Macao,Macao,Macao,Macao
Macedonia,FYR,MacedoniaFYR,Macedonia FYR,FYR Macedonia
,Madagascar,Madagascar,Madagascar,Madagascar
,Malawi,Malawi,Malawi,Malawi
,Malaysia,Malaysia,Malaysia,Malaysia
,Maldives,Maldives,Maldives,Maldives
,Mali,Mali,Mali,Mali
,Malta,Malta,Malta,Malta
Marshall , Islands,Marshall  Islands,Marshall  Islands,Marshall Islands
,Mauritania,Mauritania,Mauritania,Mauritania
,Mauritius,Mauritius,Mauritius,Mauritius
,Mexico,Mexico,Mexico,Mexico
,Micronesia,Micronesia,Micronesia,Micronesia
,Moldova,Moldova,Moldova,Moldova
,Monaco,Monaco,Monaco,Monaco
,Mongolia,Mongolia,Mongolia,Mongolia
,Montenegro,Montenegro,Montenegro,Montenegro
,Morocco,Morocco,Morocco,Morocco
,Mozambique,Mozambique,Mozambique,Mozambique
,Myanmar,Myanmar,Myanmar,Myanmar
,Namibia,Namibia,Namibia,Namibia
,Nepal,Nepal,Nepal,Nepal
,Netherlands,Netherlands,Netherlands,Netherlands
Netherlands ,Antilles,Netherlands Antilles,Netherlands Antilles,Netherlands Antilles
New,Zealand,NewZealand,New Zealand,New Zealand
,Nicaragua,Nicaragua,Nicaragua,Nicaragua
,Niger,Niger,Niger,Niger
,Nigeria,Nigeria,Nigeria,Nigeria
,Norway,Norway,Norway,Norway
,Oman,Oman,Oman,Oman
,Pakistan,Pakistan,Pakistan,Pakistan
, Palau, Palau,Palau,Palau
,Panama,Panama,Panama,Panama
,PNG,PNG,PNG,PNG
,Paraguay,Paraguay,Paraguay,Paraguay
,Peru,Peru,Peru,Peru
,Philippines,Philippines,Philippines,Philippines
,Poland,Poland,Poland,Poland
,Portugal,Portugal,Portugal,Portugal
,Qatar,Qatar,Qatar,Qatar
,Romania,Romania,Romania,Romania
,Russia,Russia,Russia,Russia
,Rwanda,Rwanda,Rwanda,Rwanda
, Samoa, Samoa,Samoa,Samoa
San,Marino,SanMarino,San Marino,San Marino
Sao Tome,& Principe,Sao Tome& Principe,Sao Tome & Principe,Sao Tome & Principe
Saudi,Arabia,SaudiArabia,Saudi Arabia,Saudi Arabia
,Senegal,Senegal,Senegal,Senegal
"Serbia, ",Rep. of,"Serbia, Rep. of","Serbia, Rep. of","Serbia, Rep. of"
,Seychelles,Seychelles,Seychelles,Seychelles
Sierra,Leone,SierraLeone,Sierra Leone,Sierra Leone
, Singapore, Singapore,Singapore,Singapore
Slovak,Republic,SlovakRepublic,Slovak Republic,Slovak Republic
,Slovenia,Slovenia,Slovenia,Slovenia
Solomon,Islands,SolomonIslands,Solomon Islands,Solomon Islands
,Somalia,Somalia,Somalia,Somalia
South,Africa,SouthAfrica,South Africa,South Africa
, Spain, Spain,Spain,Spain
Sri,Lanka,SriLanka,Sri Lanka,Sri Lanka
St. Kitts,and Nevis,St. Kittsand Nevis,St. Kitts and Nevis,St. Kitts and Nevis
St.,Lucia,St.Lucia,St. Lucia,St. Lucia
St Vincent &,Grenadines,St Vincent &Grenadines,St Vincent & Grenadines,St Vincent & Grenadines
,Sudan,Sudan,Sudan,Sudan
,Suriname,Suriname,Suriname,Suriname
,Swaziland,Swaziland,Swaziland,Swaziland
,Sweden,Sweden,Sweden,Sweden
,Switzerland,Switzerland,Switzerland,Switzerland
Syrian,Arab Rep.,SyrianArab Rep.,Syrian Arab Rep.,Syrian Arab Rep.
,Tajikistan,Tajikistan,Tajikistan,Tajikistan
,Tanzania,Tanzania,Tanzania,Tanzania
,Thailand,Thailand,Thailand,Thailand
,Togo,Togo,Togo,Togo
,Tonga,Tonga,Tonga,Tonga
Trinidad,Tobago,TrinidadTobago,Trinidad Tobago,Trinidad and Tobago
,Tunisia,Tunisia,Tunisia,Tunisia
,Turkey,Turkey,Turkey,Turkey
,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
,Uganda,Uganda,Uganda,Uganda
,Ukraine,Ukraine,Ukraine,Ukraine
,UAE,UAE,UAE,United Arab Emirates
United, Kingdom,United Kingdom,United Kingdom,United Kingdom
United,States,UnitedStates,United States,United States
,Uruguay,Uruguay,Uruguay,Uruguay
,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
,Vanuatu,Vanuatu,Vanuatu,Vanuatu
,Venezuela,Venezuela,Venezuela,Venezuela
,Vietnam,Vietnam,Vietnam,Vietnam
West Bank,and Gaza,West Bankand Gaza,West Bank and Gaza,West Bank and Gaza
Yemen,Rep. of,YemenRep. of,Yemen Rep. of,Yemen
,Zambia,Zambia,Zambia,Zambia
,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
